episode_key,source_folder,article_title,proposed_slug,tags,podcast_url,article_publish_at,author_id,category_code,cover_url,status
MINI18,MINI18_小一新生談戀愛,一年級就談戀愛——媽媽真正怕的，不是這件事,podcast-mini18,職場媽媽崩潰啥、小一新生、教養、親子溝通、情緒、校園,,,,,,draft
MINI19,MINI19_吉竹伸介繪本,母子在同一個點笑出來——吉竹伸介的繪本在做什麼,podcast-mini19,職場媽媽崩潰啥、繪本、親子共讀、吉竹伸介、情緒、幽默,,,,,,draft
MINI20,MINI20_訪問幼小銜接,我問了兩個小孩：一年級最怕的那段，你們是怎麼撐過來的,podcast-mini20,職場媽媽崩潰啥、幼小銜接、小一新生、教養、情緒、親子對話,,,,,,draft
MINI21,MINI21_遠雄海洋世界夜未眠,夜宿水族館：訂位那個下拉選單，決定了你整晚看的是魚還是黑水箱,podcast-mini21,職場媽媽崩潰啥、親子旅遊、夜宿、水族館、花蓮、行程規劃,,,,,,draft
MINI22,MINI22_小一新生驚訝三件套,幼小銜接真正卡住孩子的，不是注音，是蹲式馬桶,podcast-mini22,職場媽媽崩潰啥、幼小銜接、小一新生、教養、入學準備、聯絡簿,,,,,,draft
MINI23,MINI23_羅浮溫泉,一個陪玩，一個放空——親子行程裡最難得的那個設計,podcast-mini23,職場媽媽崩潰啥、親子旅遊、溫泉、輪班、桃園、育兒,,,,,,draft
MINI24,MINI24_小學生同學間衝突,接到學校電話的第一件事，不是生氣,podcast-mini24,職場媽媽崩潰啥、校園衝突、小學生、教養、求助、親師溝通,,,,,,draft
MINI25,MINI25_三歲也能晉身藝文咖,三歲多真的坐得住——但要從「可以中途走人」的那一場開始,podcast-mini25,職場媽媽崩潰啥、親子藝文、兒童劇、音樂會、三歲、親子對話,,,,,,draft
MINI26,MINI26_健檢單上寫了過重,出事的，是我最放心的那一個,podcast-mini26,職場媽媽崩潰啥、兒童健康、習慣養成、運動、教養、隔代教養,,,,,,draft
MINI27,MINI27_郵輪第一天,上船第一件事，不是去吃飯——郵輪登船日的三件關鍵事,podcast-mini27,職場媽媽崩潰啥、郵輪、親子旅遊、MSC、行程規劃、打包,,,,,,draft
MINI28,MINI28_小一新生夏令營,平日不上、假日不上，才藝全部集中在寒暑假,podcast-mini28,職場媽媽崩潰啥、夏令營、才藝班、時間分配、教養、小學生,,,,,,draft
MINI29,MINI29_MSC必參加,什麼都包含的船上，值得花力氣的是那些要主動選的,podcast-mini29,職場媽媽崩潰啥、郵輪、MSC、親子旅遊、表演、行程規劃,,,,,,draft
MINI31,MINI31_帶長輩和小孩遊福岡,自己去可以探險，帶老人小孩去只能保險,podcast-mini31,職場媽媽崩潰啥、日本旅遊、福岡、帶長輩出國、親子旅遊、行前準備,,,,,,draft
MINI32,MINI32_自己做手搖飲,不禁止孩子喝飲料——只是把產地換成自家廚房,podcast-mini32,職場媽媽崩潰啥、手搖飲、兒童飲食、食育、小學生、自製飲料,,,,,,draft
MINI33,MINI33_三歲幼兒做家事,讓三歲的孩子做家事——目標一開始就不是家事,podcast-mini33,職場媽媽崩潰啥、做家事、三歲、習慣養成、教養、減少3C,,,,,,draft
MINI34,MINI34_飲控60天,六十天，不戒甜點也不戒大餐——她只是把主食澱粉拿去換,podcast-mini34,職場媽媽崩潰啥、飲食控制、蛋白質、AI、自我照顧、習慣,,,,,,draft
MINI35,MINI35_蛋白餐與低卡小菜,二十分鐘、四樣材料——零廚藝也做得出來的蛋白餐,podcast-mini35,職場媽媽崩潰啥、增肌減脂、快速料理、蛋白質、備餐、低卡,,,,,,draft
MINI36,MINI36_推薦三歲以上的podcast,好節目放錯時段就是災難——四個兒童 podcast 的用法,podcast-mini36,職場媽媽崩潰啥、兒童podcast、親子共讀、減少3C、三歲、通勤,,,,,,draft
MINI37,MINI37_雨備活動抱石,不要鼓勵他，爬給他看——三個怕高的女人上牆那天,podcast-mini37,職場媽媽崩潰啥、抱石、雨備活動、教養、運動、示範,,,,,,draft
MINI38A,MINI38A_讓小孩吃青菜,讓小孩吃青菜的十年奮鬥——兩個孩子，兩種卡點,podcast-mini38a,職場媽媽崩潰啥、挑食、青菜、兒童飲食、教養、工作細胞,,,,,,draft
MINI38B,MINI38B_大相撲七小時,人生這麼大了才知道，有人一起做喜歡的事是這種感覺,podcast-mini38b,職場媽媽崩潰啥、共同興趣、日本旅遊、相撲、親子、媽媽的興趣,,,,,,draft
