dim,name,name_zh,group,group_name,source_type,description
140,ming_dark_star,命宮暗合宮主星,B,複合維度抽取,dark_harmony,命宮暗合宮主星
141,cai_dark_signal,財帛暗合宮信號,B,複合維度抽取,dark_harmony,財帛暗合宮信號
142,guan_dark_signal,官祿暗合宮信號,B,複合維度抽取,dark_harmony,官祿暗合宮信號
143,sihua_dark_effect,四化落暗合宮效應,B,複合維度抽取,dark_harmony,四化落暗合宮效應
144,dark_activity,暗合整體活躍度,B,複合維度抽取,dark_harmony,暗合整體活躍度
145,signal_concentration,信號集中度,B,複合維度抽取,signal_distribution,12宮位信號的HHI集中度指標
146,signal_range,信號極差,B,複合維度抽取,signal_distribution,12宮位信號最大與最小值之差
147,top_palace_ratio,最強宮位佔比,B,複合維度抽取,signal_distribution,最強宮位信號佔全盤總信號比例
148,trine_ratio,三方四正佔比,B,複合維度抽取,signal_distribution,命宮三方四正信號佔全盤總信號比例
149,signal_entropy,信號熵值,B,複合維度抽取,signal_distribution,12宮位信號的資訊熵指標
150,brake_formation_ratio,煞星陣型比,B,複合維度抽取,signal_distribution,四煞星所在宮位互為三方四正的配對比例
151,void_formation_ratio,空劫陣型比,B,複合維度抽取,signal_distribution,空劫星所在宮位互為三方四正的配對比例
152,brake_formation_coverage,煞星陣型覆蓋率,B,複合維度抽取,signal_distribution,煞星陣型中三方四正聯集涵蓋的宮位佔12宮比例
153,void_formation_coverage,空劫陣型覆蓋率,B,複合維度抽取,signal_distribution,空劫陣型中三方四正聯集涵蓋的宮位佔12宮比例
154,palace_max_positive,最強正能量宮位信號,B,複合維度抽取,palace_polarity,12宮中正能量(主星+輔星)最高的宮位之信號強度
155,palace_max_positive_code,最強正能量宮位編碼,B,複合維度抽取,palace_polarity,正能量最高宮位的編碼(正規化至0-1)
156,palace_max_negative,最強負能量宮位信號,B,複合維度抽取,palace_polarity,12宮中負能量(煞星+空劫)最高的宮位之信號強度
157,palace_max_negative_code,最強負能量宮位編碼,B,複合維度抽取,palace_polarity,負能量最高宮位的編碼(正規化至0-1)
158,palace_min_net,最弱淨品質宮位信號,B,複合維度抽取,palace_polarity,正負相減後最低的宮位之淨值
159,palace_min_net_code,最弱淨品質宮位編碼,B,複合維度抽取,palace_polarity,淨品質最低宮位的編碼(正規化至0-1)
160,sihua_fo_environment,祿宮位品質,B,複合維度抽取,sihua_quality,祿落宮的(正能量-負能量)/總能量
161,sihua_pw_environment,權宮位品質,B,複合維度抽取,sihua_quality,權落宮的(正能量-負能量)/總能量
162,sihua_ho_environment,科宮位品質,B,複合維度抽取,sihua_quality,科落宮的(正能量-負能量)/總能量
163,sihua_bi_environment,忌宮位品質,B,複合維度抽取,sihua_quality,忌落宮的(正能量-負能量)/總能量
164,quan_brake_coexist,化權煞星共存度,B,複合維度抽取,sihua_quality,化權落宮的煞星能量佔該宮總能量比例
165,ji_void_coexist,化忌空劫共存度,B,複合維度抽取,sihua_quality,化忌落宮的空劫能量佔該宮總能量比例
166,ji_brake_trine,化忌三方四正煞星比,B,複合維度抽取,sihua_quality,化忌落宮三方四正中煞星能量佔總能量比例
167,ji_void_trine,化忌三方四正空劫比,B,複合維度抽取,sihua_quality,化忌落宮三方四正中空劫能量佔總能量比例
168,reserve_b_08,備用B08,B,複合維度抽取,reserve,Group B 插槽空間
169,reserve_b_09,備用B09,B,複合維度抽取,reserve,Group B 插槽空間
170,reserve_b_10,備用B10,B,複合維度抽取,reserve,Group B 插槽空間
171,reserve_b_11,備用B11,B,複合維度抽取,reserve,Group B 插槽空間
172,reserve_b_12,備用B12,B,複合維度抽取,reserve,Group B 插槽空間
173,P_ZFTG,紫府同宮格,C,複合編碼計算,pattern_match,氣質高貴處事穩重、追求高標準有領導統御之才
174,P_YLCL,陽梁昌祿格,C,複合編碼計算,pattern_match,學術能力卓越且理性清高、善於在考試競爭中脫穎而出
175,P_JYTL,機月同梁格,C,複合編碼計算,pattern_match,性格穩定邏輯清晰善於助人、為組織中的中堅力量
176,P_RYBM,日月並明格,C,複合編碼計算,pattern_match,光明磊落重視聲譽樂於助人、兼具陽剛與柔和氣質
177,P_ZFCY,紫府朝垣格,C,複合編碼計算,pattern_match,領導才能出眾有遠見卓識、行事穩健值得信賴
178,P_TFCY,天府朝垣格,C,複合編碼計算,pattern_match,穩重守成重視品味與生活品質、理財能力強
179,P_JCQH,君臣慶會格,C,複合編碼計算,pattern_match,領袖魅力強動員組織能力出眾、在任何產業或階層皆具號召力
180,P_FXCY,府相朝垣格,C,複合編碼計算,pattern_match,人緣好注重品味、遇難有貴人相助福氣深厚
181,P_JLJH,機梁加會格,C,複合編碼計算,pattern_match,心慈溫和善企劃分析、口才佳好談理論有謀略
182,P_WLZJ,文梁振紀格,C,複合編碼計算,pattern_match,剛正不阿口才出眾、文采與原則兼備
183,P_JRTG,巨日同宮格,C,複合編碼計算,pattern_match,口才犀利善於表達能言善辯、具雙重性格的張力
184,P_JCGH,金燦光輝格,C,複合編碼計算,pattern_match,氣勢恢宏心胸豪邁志向遠大、具領袖群倫之風範
185,P_RZLM,日照雷門格,C,複合編碼計算,pattern_match,崇尚文化中規中矩學識淵博、兼具名氣與才華
186,P_MZCH,明珠出海格,C,複合編碼計算,pattern_match,細心謹慎思慮周全大方穩重、為循序漸進型成就者
187,P_YLTM,月朗天門格,C,複合編碼計算,pattern_match,溫文儒雅內斂有親和力學識淵博、清雅中帶富貴
188,P_YSCH,月生滄海格,C,複合編碼計算,pattern_match,聰明秀氣幽默感佳人緣極好、富謙讓美德
189,P_SXRM,壽星入廟格,C,複合編碼計算,pattern_match,沉穩善良正直無私學識優秀、具化解危機之能力
190,P_YXRM,英星入廟格,C,複合編碼計算,pattern_match,果斷勇猛魄力十足敢於冒險、為事業開路先鋒
191,P_SZYY,石中隱玉格,C,複合編碼計算,pattern_match,聰明才智理想高遠耐操耐磨、先苦後甘型成就者
192,P_QSCD,七殺朝斗格,C,複合編碼計算,pattern_match,堅韌不屈執行力強不畏艱難、性格強勢不輕易妥協
193,P_MTDJ,馬頭帶箭格,C,複合編碼計算,pattern_match,剛毅果決耐磨抗壓適合創業、先苦後榮型
194,P_JJTL,巨機同臨格,C,複合編碼計算,pattern_match,思想敏捷善辯善析富研究心、個性堅持己見
195,P_TYGM,天乙拱命格,C,複合編碼計算,pattern_match,學識出眾助人為樂且常得人助、逢凶化吉運勢佳
196,P_SQJH,三奇加會格,C,複合編碼計算,pattern_match,財官名三全才華出眾、決斷力與名望兼備
197,P_QLXF,權祿巡逢格,C,複合編碼計算,pattern_match,專業能力強兼具經商智謀與決斷力、既富且貴
198,P_KQLJ,科權祿夾格,C,複合編碼計算,pattern_match,名利兼備事業發展有靠山、關鍵時刻總有助力
199,P_SLJM,雙祿夾命格,C,複合編碼計算,pattern_match,財運極佳理財有方、對金錢機會敏銳
200,P_ZYTG,左右同宮格,C,複合編碼計算,pattern_match,端莊大方樂善好施組織能力強、貴人緣極佳
201,P_WGWH,文桂文華格,C,複合編碼計算,pattern_match,博學多才文采出眾談吐優雅、學術藝術天賦高
202,P_TWTX,貪武同行格,C,複合編碼計算,pattern_match,交際手腕好耿直爽朗越挫越勇、大器晚成型
203,P_SHHT,三合火貪格,C,複合編碼計算,pattern_match,爆發力強敢衝敢闖、物質慾望旺盛善抓橫財機會
204,P_TLCY,貪鈴朝垣格,C,複合編碼計算,pattern_match,多才多藝善於展現自我、先名後利型
205,P_ZFJM,紫府夾命格,C,複合編碼計算,pattern_match,帝星令星護衛氣質高貴、領導力強穩重大方
206,P_RYJM,日月夾命格,C,複合編碼計算,pattern_match,日月光輝護照光明磊落、六親緣厚樂於助人
207,P_ZYJM,左右夾命格,C,複合編碼計算,pattern_match,雙輔護衛人緣極佳、貴人運強善於團隊合作
208,P_CQJM,昌曲夾命格,C,複合編碼計算,pattern_match,雙文護衛聰明好學、文采出眾考試運佳
209,P_LZWW,廉貞文武格,C,複合編碼計算,pattern_match,機智過人交際手腕好文武兼備、自我要求嚴格
210,P_QSHL,權煞化祿格,C,複合編碼計算,pattern_match,逆境中崛起化壓力為動力、膽識過人
211,P_XSCY,雄宿朝垣格,C,複合編碼計算,pattern_match,魅力出眾善於經營人脈、異性緣佳果斷有領導力
212,P_FGWX,輔拱文星格,C,複合編碼計算,pattern_match,才學出眾人緣極佳、團隊合作力強
213,P_LWGM,祿文拱命格,C,複合編碼計算,pattern_match,富而且秀談吐優雅、兼具財富與文化修養
214,P_LHYY,祿合鴛鴦格,C,複合編碼計算,pattern_match,財運極強生財管道多元、天生對金錢有吸引力
215,P_SLCY,雙祿朝垣格,C,複合編碼計算,pattern_match,財運穩健事業與財富相輔相成、一生富裕少波折
216,P_LMPY,祿馬佩印格,C,複合編碼計算,pattern_match,善於外出經商經手財務能力強、行動力十足
217,P_LMJC,祿馬交馳格,C,複合編碼計算,pattern_match,善於異地發展適應力強、環境變動中獲利
218,P_EYTL,二曜同臨格,C,複合編碼計算,pattern_match,才華出眾聲勢顯赫、少年得志型
219,P_DCGC,丹墀桂墀格,C,複合編碼計算,pattern_match,熱情正直聰慧靈敏、處事靈活有決斷力
220,P_JDDY,甲第登庸格,C,複合編碼計算,pattern_match,學識與魄力兼備、考試能力強適合體制內發展
221,P_KMHL,科名會祿格,C,複合編碼計算,pattern_match,才華出眾且善於變現名利相生、專業領域受推崇
222,P_JXLM,極向離明格,C,複合編碼計算,pattern_match,氣場強大威風凜凜天生領袖氣質、自信且有威嚴
223,P_HXFG,化星返貴格,C,複合編碼計算,pattern_match,口才犀利善於爭辯、能化是非為職業優勢
224,P_JXDD,將星得地格,C,複合編碼計算,pattern_match,剛毅果決執行力強、善於理財與管理
225,P_RYZB,日月照壁格,C,複合編碼計算,pattern_match,家庭根基穩固不動產運佳、居住環境優越
226,P_CLJM,財祿夾馬格,C,複合編碼計算,pattern_match,善於冒險投機行動力強、對財富機會嗅覺敏銳
227,P_MLAL,明祿暗祿格,C,複合編碼計算,pattern_match,財運明暗兼收常有意外之財、理財管道多元
228,P_KMLA,科明祿暗格,C,複合編碼計算,pattern_match,名聲在外暗財隨來、以科名帶動財運
229,P_SMQH,水木清華格,C,複合編碼計算,pattern_match,聰明機靈善解人意創意思維強、人際關係佳
230,P_CGZG,蟾宮折桂格,C,複合編碼計算,pattern_match,考試運極佳競爭力強、政界或學術界出類拔萃
231,P_SQCD,三奇朝斗格,C,複合編碼計算,pattern_match,才華橫溢多才多藝、際遇優於常人
232,P_MWZY,命無正曜格,C,複合編碼計算,pattern_match,性格多變適應力強、易受外在環境影響
233,P_JJMY,極居卯酉格,C,複合編碼計算,pattern_match,外表風流慾望強烈、意志力易受誘惑動搖
234,P_SGLZ,殺拱廉貞格,C,複合編碼計算,pattern_match,性格剛烈好勝爭強、急躁時容易與人衝突
235,P_JFSS,巨逢四煞格,C,複合編碼計算,pattern_match,口舌犀利但易得罪人、猜疑心重不利人際關係
236,P_MTDJX,馬頭帶劍格,C,複合編碼計算,pattern_match,性烈如火剛毅果斷、獨立性強但人際緣較薄
237,P_MLFK,命裡逢空格,C,複合編碼計算,pattern_match,思想超脫有宗教或哲學傾向、物質慾望淡薄
238,P_TLGY,天梁拱月格,C,複合編碼計算,pattern_match,內心敏感情感細膩、傾向漂泊不易安定
239,P_WXYJ,文星遇夾格,C,複合編碼計算,pattern_match,有才華但不易發揮、學業易有波折功名較遲
240,P_WXSW,文星失位格,C,複合編碼計算,pattern_match,學習過程較吃力、文書易疏忽表達不夠流暢
241,P_KXSC,科星煞湊格,C,複合編碼計算,pattern_match,有才學但表現不穩定、心浮氣躁時功名多阻
242,P_KXFP,科星逢破格,C,複合編碼計算,pattern_match,學有所成但不易獲得認可、因名實不符鬱鬱不得志
243,P_KYXC,魁鉞凶沖格,C,複合編碼計算,pattern_match,貴人運較弱機遇易失、多靠獨力奮鬥
244,P_WTSS,武貪守身格,C,複合編碼計算,pattern_match,心性不定多才多藝但難專精、先苦後甘型
245,P_JJHY,巨機化酉格,C,複合編碼計算,pattern_match,聰明善辯但言語易傷人、多疑善妒內心不易安定
246,P_XQJY,刑囚夾印格,C,複合編碼計算,pattern_match,性格鮮明不循常規、容易與法律或權威產生摩擦
247,P_YTYS,月同遇煞格,C,複合編碼計算,pattern_match,性格內斂多愁善感、身心較為敏感脆弱
248,P_MLKW,馬落空亡格,C,複合編碼計算,pattern_match,好動不安難以安定、行動多但成果不易累積
249,P_LMPD,梁馬飄蕩格,C,複合編碼計算,pattern_match,漂泊不定熱心助人但易為人作嫁、難享安穩
250,P_SBFS,生不逢時格,C,複合編碼計算,pattern_match,懷才不遇時運不易配合、容易鬱鬱寡歡
251,P_LFLS,祿逢兩煞格,C,複合編碼計算,pattern_match,求財辛苦守財不易、財運較為反覆
252,P_RYCH,日月藏輝格,C,複合編碼計算,pattern_match,勞碌奔波自信心較不足、六親緣較薄
253,P_CYQC,財與囚仇格,C,複合編碼計算,pattern_match,求財心切但方法易偏激、財務糾紛多須注意因財惹禍
254,P_YSGP,一生孤貧格,C,複合編碼計算,pattern_match,個性孤僻較衝動、破壞力強但難以守成
255,P_JZZY,君子在野格,C,複合編碼計算,pattern_match,有潛質但不易施展、處處受制發展受限
256,P_LCHG,兩重華蓋格,C,複合編碼計算,pattern_match,外表光鮮但內在較空虛、眼高手低實際落差大
257,P_YTJJ,羊陀夾忌格,C,複合編碼計算,pattern_match,處處受制計劃容易落空、多災多難需格外謹慎
258,P_HLJM,火鈴夾命格,C,複合編碼計算,pattern_match,性格急躁精神容易緊張、易招意外需注意安全
259,P_JKJM,劫空夾命格,C,複合編碼計算,pattern_match,物質較匱乏六親緣薄、精神超脫但現實較困頓
260,P_LCTW,鈴昌陀武格,C,複合編碼計算,pattern_match,性格較為極端內心壓力大、孤僻傾向明顯需要關注
261,P_LTLX,廉貪落陷格,C,複合編碼計算,pattern_match,風流多情善於交際但不重承諾、家庭觀念較薄弱
262,P_FSTH,泛水桃花格,C,複合編碼計算,pattern_match,魅力過人善察言觀色人際手腕高超、但容易感情用事
263,P_FLCZ,風流彩杖格,C,複合編碼計算,pattern_match,聰明風流但易受情困、執著於感情容易因色惹禍
264,career_potential,事業潛力,D,自動加總計算,theme_composite,事業發展如何？官祿信號+領導力+管理力+紫微能量
265,wealth_potential,財富潛力,D,自動加總計算,theme_composite,能賺到錢嗎？財帛信號+武曲+祿存+田宅信號
266,relationship_quality,感情品質,D,自動加總計算,theme_composite,感情運好嗎？夫妻信號+情感深度+包容耐心+磁性魅力
267,health_resilience,健康韌性,D,自動加總計算,theme_composite,身體狀況如何？疾厄信號+內在穩定+天同+天梁
268,social_influence,人際影響力,D,自動加總計算,theme_composite,人緣好嗎？遷移信號+交友信號+社交適應+表達力
269,creative_talent,創造才華,D,自動加總計算,theme_composite,有什麼天賦？創造慾望+磁性魅力+智慧敏捷+小星才華
270,academic_potential,學業潛力,D,自動加總計算,theme_composite,適合讀書考試嗎？智慧敏捷+管理秩序+文昌+文曲
271,family_harmony,家庭和諧,D,自動加總計算,theme_composite,家庭關係好嗎？父母信號+兄弟信號+子女信號+包容耐心
272,spiritual_depth,靈性深度,D,自動加總計算,theme_composite,內在世界如何？福德信號+情感深度+小星靈性
